area,rooms,bathroom,price,link,latitude,longitude
73,2,1,998000,https://www.vivareal.com.br/imoveis-lancamento/residencial-back-green-towers-73m-2569361604/,-27.5816286,-48.5251039
103,3,2,590000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-103m2-venda-RS590000-id-2552114069/,-27.6025152,-48.5760041214286
82,2,2,640000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-82m2-venda-RS640000-id-2571169035/,-27.5879813,-48.4940271
78,2,2,1500000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-78m2-venda-RS1500000-id-2566877727/,-27.4383406,-48.4832886
92,3,1,1599000,https://www.vivareal.com.br/imoveis-lancamento/residencial-back-green-towers-unidade-especial-2570167911/,-27.5816286,-48.5251039
75,2,2,720000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-praia-brava-bairros-florianopolis-com-garagem-75m2-venda-RS720000-id-2572975319/,-27.3945166,-48.4165737
108,3,4,1625000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-108m2-venda-RS1625000-id-2571217811/,-27.4402665,-48.5027484
79,2,2,698000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-79m2-venda-RS698000-id-2556932377/,-27.4296933,-48.4444006
84,3,2,543900,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-84m2-venda-RS543900-id-2571210563/,-27.5859664,-48.589568
108,3,2,1830000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-108m2-venda-RS1830000-id-2572726408/,-27.6749209,-48.4843111
97,3,2,890000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-97m2-venda-RS890000-id-2568461189/,-27.5885516,-48.5792819
75,3,1,415000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-75m2-venda-RS415000-id-2570449023/,-27.5895263,-48.5200012
98,3,2,1200000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-98m2-venda-RS1200000-id-2558256255/,-27.4419836,-48.4941144
103,3,3,389600,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bom-abrigo-bairros-florianopolis-com-garagem-103m2-venda-RS389600-id-2557446266/,-27.6121214,-48.593757
77,3,2,550000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-77m2-venda-RS550000-id-2561193770/,-27.5895599,-48.5274268
108,2,3,1100000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santinho-bairros-florianopolis-com-garagem-108m2-venda-RS1100000-id-2572388620/,-27.4530418,-48.3803642
99,3,2,795000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-canasvieiras-bairros-florianopolis-com-garagem-99m2-venda-RS795000-id-2568293104/,-27.4308864,-48.4499007
102,3,2,590000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-102m2-venda-RS590000-id-2569643212/,-27.6112016,-48.5808439
86,3,2,680000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-86m2-venda-RS680000-id-2564061635/,-27.6007352,-48.4994204
75,2,2,450000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-75m2-venda-RS450000-id-2567977358/,-27.430234,-48.4001859
110,3,2,990000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-110m2-venda-RS990000-id-2552890721/,-27.5842274,-48.5466395
120,3,2,580000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-120m2-venda-RS580000-id-2565025737/,-27.5913355,-48.5760403
97,3,3,899900,https://www.vivareal.com.br/imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-97m2-venda-RS899900-id-2564538281/,-27.607779,-48.5939912
86,2,2,521000,https://www.vivareal.com.br/imoveis-lancamento/morada-do-atlantico-residencial-86-m-7613/,-27.5767005,-48.6001276
108,3,2,1390000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-108m2-venda-RS1390000-id-2569187588/,-27.6126837,-48.5833449
112,3,2,850000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-112m2-venda-RS850000-id-2568144028/,-27.4388938,-48.4821589
108,3,2,1750000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-108m2-venda-RS1750000-id-2556914733/,-27.4423175,-48.4895496
108,3,2,699000,https://www.vivareal.com.br/imoveis-lancamento/morada-do-atlantico-residencial-108m-2527429698/,-27.5767005,-48.6001276
91,3,2,789000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-91m2-venda-RS789000-id-2565090870/,-27.604451,-48.4973533
95,3,3,547900,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-95m2-venda-RS547900-id-2572140185/,-27.6000424,-48.516354
76,2,2,1190000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-76m2-venda-RS1190000-id-2545474886/,-27.4424721,-48.4877448
105,2,2,1400000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-105m2-venda-RS1400000-id-2522710121/,-27.4423951,-48.4886431
99,3,2,600000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-99m2-venda-RS600000-id-2572903777/,-27.6060868,-48.5804042
114,3,3,1150000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-joao-paulo-bairros-florianopolis-com-garagem-114m2-venda-RS1150000-id-2566574754/,-27.5559219,-48.5019898
111,3,2,749900,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-111m2-venda-RS749900-id-2564991019/,-27.5890432,-48.5759344
96,3,2,450000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-canto-bairros-florianopolis-com-garagem-96m2-venda-RS450000-id-2563204119/,-27.590641,-48.5848597
75,2,2,1050000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-75m2-venda-RS1050000-id-2571220379/,-27.5912736,-48.5606522
101,3,2,1399000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-corrego-grande-bairros-florianopolis-com-garagem-101m2-venda-RS1399000-id-2569499881/,-27.5920778,-48.5012131
75,2,2,812169,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-75m2-venda-RS812169-id-2566404074/,-27.576749,-48.5146718
75,2,2,534112,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-75m2-venda-RS534112-id-2572646485/,-27.4399071,-48.401143
72,2,2,620000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-72m2-venda-RS620000-id-2558508466/,-27.5731765,-48.5113329
70,2,1,249900,https://www.vivareal.com.br/imovel/apartamento-2-quartos-estreito-bairros-florianopolis-70m2-venda-RS249900-id-2556072130/,-27.5907313,-48.57797
120,2,2,1880000,https://www.vivareal.com.br/imovel/cobertura-2-quartos-jurere-bairros-florianopolis-com-garagem-120m2-venda-RS1880000-id-2569337195/,-27.4412981,-48.4850374
72,2,2,650000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-72m2-venda-RS650000-id-2565202559/,-27.4211092,-48.4337457
110,4,3,1080000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-parque-sao-jorge-bairros-florianopolis-com-garagem-110m2-venda-RS1080000-id-2568724302/,-27.589723,-48.4997545
102,3,3,571000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-102m2-venda-RS571000-id-2561882603/,-27.5908567,-48.5519228
90,2,2,950000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-90m2-venda-RS950000-id-2569718191/,-27.4249365,-48.4404794
86,2,3,895000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-86m2-venda-RS895000-id-2565789068/,-27.6706686,-48.5052799
114,2,2,998000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-114m2-venda-RS998000-id-2570810470/,-27.4450666,-48.4869811
81,2,2,585000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-81m2-venda-RS585000-id-2569386306/,-27.4316784,-48.4001495
90,3,2,398000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-90m2-venda-RS398000-id-2572272780/,-27.5927043,-48.5888707
87,3,1,360000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-estreito-bairros-florianopolis-com-garagem-87m2-venda-RS360000-id-2563626095/,-27.5846338,-48.5781062
83,2,2,790000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-83m2-venda-RS790000-id-2566429698/,-27.7010513,-48.4981404
100,2,2,1960000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-100m2-venda-RS1960000-id-2571232706/,-27.5888152,-48.5524544
84,3,2,490000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-84m2-venda-RS490000-id-2571125648/,-27.6112016,-48.5808439
77,2,2,795000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomica-bairros-florianopolis-com-garagem-77m2-venda-RS795000-id-2572323237/,-27.5762715,-48.5421785
78,2,2,595000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-78m2-venda-RS595000-id-2571238243/,-27.4341444,-48.3934617
114,2,2,999000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jurere-bairros-florianopolis-com-garagem-114m2-venda-RS999000-id-2570155904/,-27.4450666,-48.4869811
83,3,2,1350000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomica-bairros-florianopolis-com-garagem-83m2-venda-RS1350000-id-2556387357/,-27.5740686,-48.5343368
112,2,1,790000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-corrego-grande-bairros-florianopolis-com-garagem-112m2-venda-RS790000-id-2553376342/,-27.5920778,-48.5012131
101,3,2,1650000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-101m2-venda-RS1650000-id-2567049391/,-27.4350547,-48.5073769861319
112,4,2,780000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-corrego-grande-bairros-florianopolis-com-garagem-112m2-venda-RS780000-id-2572593337/,-27.6007352,-48.4994204
94,3,2,750000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-94m2-venda-RS750000-id-2572249791/,-27.5957139,-48.5825606
96,3,3,970000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-96m2-venda-RS970000-id-2427759320/,-27.5754924,-48.5967993
89,3,2,470000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saco-grande-bairros-florianopolis-com-garagem-89m2-venda-RS470000-id-2566702959/,-27.5428005,-48.5005262
86,3,2,1250000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-86m2-venda-RS1250000-id-2558570757/,-27.5899119,-48.5602226
101,2,3,699000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-101m2-venda-RS699000-id-2566398772/,-27.5620756,-48.5170356
80,2,2,449291,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-80m2-venda-RS449291-id-2572962787/,-27.439125,-48.4142332
85,2,3,1056700,https://www.vivareal.com.br/imoveis-lancamento/soleil-do-cacupe-85-2563467814/,-27.5396463,-48.5277166
84,2,2,790000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-84m2-venda-RS790000-id-2567874493/,-27.7010513,-48.4981404
114,3,3,1900000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jurere-bairros-florianopolis-com-garagem-114m2-venda-RS1900000-id-2566632403/,-27.4450666,-48.4869811
84,2,2,580000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-norte-bairros-florianopolis-com-garagem-84m2-venda-RS580000-id-2554406514/,-27.4274636,-48.4050976
110,3,2,629000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-110m2-venda-RS629000-id-2562392321/,-27.6047122,-48.5766769
73,2,2,580000,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-73m2-venda-RS580000-id-2572055377/,-27.5812989,-48.5923736
